序号,点数,位置[误差]（毫米） - 加注口,位置[误差]（毫米） - 回收口,角度[误差]（度） - 加注口,角度[误差]（度） - 回收口,计算时长
1,395373,"(-29.5248, 116.795, 1007.63)","(306.801, 121.988, 1014.75)","(41.0693, 0.0230704, -0.00301938)","(68.8461, -0.0264055, -0.00207968)",0.371144
2,796642,"(-25.4042, 159.67, 1223.25)","(328.891, 144.499, 1237.7)","(38.8616, -0.0485979, 0.0181617)","(55.0335, 0.0811482, -0.0567738)",0.213341
3,768742,"(-322.827, 122.675, 1069.58)","(278.584, 95.4902, 995.946)","(34.8011, -0.0350115, 0.0242102)","(74.0873, -0.00126525, 0.052299)",0.257716
4,799276,"(-24.0433, 61.6812, 999.13)","(301.313, 67.9807, 1009.79)","(45.4203, -0.0150312, -0.031833)","(74.5751, -0.00786374, -0.00088645)",0.426036
5,779618,"(64.0382, 149.201, 1032.07)","(605.85, 119.377, 1149.5)","(45.2121, -0.00985492, 0.0225867)","(39.3833, -0.307908, 0.0876618)",0.302929
6,782427,"(-50.8932, 155.366, 1066.28)","(282.289, 138.46, 1077.91)","(40.3912, 0.0557237, -0.0257339)","(59.6043, -0.104373, 0.0229527)",0.251364
7,849354,"(-72.796, 128.935, 1114.68)","(309.894, 111.011, 1122.43)","(53.7037, -0.0338283, -0.0100452)","(60.6405, -0.0161324, -0.00424845)",0.143418
8,816709,"(-72.5834, 119.51, 1015.58)","(317.895, 111.138, 989.316)","(47.4721, 0.0297893, -0.00894385)","(50.4779, -0.0196154, -0.00445882)",0.287288
9,811456,"(-72.6529, 114.571, 1059.9)","(308.786, 107.613, 1084.09)","(41.2969, -0.0137273, 0.0160409)","(53.2381, 0.0219487, 0.0131941)",0.13643
10,774744,"(-85.1074, 81.4136, 1120.26)","(323.892, 85.382, 1114.35)","(54.9129, 0.00673117, 0.0155545)","(68.9945, -0.0235747, 0.0041092)",0.437117
